,id_estacao,data_medicao,acumulado_chuva_15_min,acumulado_chuva_1_h,acumulado_chuva_4_h,acumulado_chuva_24_h,acumulado_chuva_96_h,acumulado_chuva_30_d,data_particao,primary_key
117,5,2024-03-23 09:15:00,0.0,0.0,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 09:15:00
118,5,2024-03-23 09:00:00,0.0,0.0,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 09:00:00
119,5,2024-03-23 08:30:00,,0.0,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 08:30:00
120,5,2024-03-23 08:45:00,0.0,0.0,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 08:45:00
121,5,2024-03-23 08:15:00,0.0,0.0,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 08:15:00
122,5,2024-03-23 07:30:00,0.0,0.2,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 07:30:00
123,5,2024-03-23 07:45:00,0.0,0.2,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 07:45:00
124,5,2024-03-23 07:00:00,,0.0,0.0,68.0,73.6,73.6,2024-03-23,5_2024-03-23 07:00:00
125,5,2024-03-23 07:15:00,0.2,0.2,0.2,68.2,73.8,73.8,2024-03-23,5_2024-03-23 07:15:00
126,5,2024-03-23 06:45:00,0.0,0.0,0.0,68.0,73.6,73.6,2024-03-23,5_2024-03-23 06:45:00
127,5,2024-03-23 06:30:00,,0.0,0.0,68.0,73.6,73.6,2024-03-23,5_2024-03-23 06:30:00
128,5,2024-03-23 06:15:00,0.0,0.0,0.0,68.0,73.6,73.6,2024-03-23,5_2024-03-23 06:15:00
129,5,2024-03-23 06:00:00,0.0,0.0,0.0,68.0,73.6,73.6,2024-03-23,5_2024-03-23 06:00:00
130,5,2024-03-23 05:15:00,,0.0,0.2,68.0,73.6,73.6,2024-03-23,5_2024-03-23 05:15:00
131,5,2024-03-23 05:00:00,0.0,0.0,0.2,68.0,73.6,73.6,2024-03-23,5_2024-03-23 05:00:00
132,5,2024-03-23 04:45:00,,0.0,0.2,68.0,73.6,73.6,2024-03-23,5_2024-03-23 04:45:00
133,5,2024-03-23 04:30:00,0.0,0.0,0.6,68.0,73.6,73.6,2024-03-23,5_2024-03-23 04:30:00
134,5,2024-03-23 04:15:00,,0.0,1.8,68.0,73.6,73.6,2024-03-23,5_2024-03-23 04:15:00
135,5,2024-03-23 03:45:00,0.0,0.0,2.2,68.0,73.6,73.6,2024-03-23,5_2024-03-23 03:45:00
136,5,2024-03-23 04:00:00,0.0,0.0,2.2,68.0,73.6,73.6,2024-03-23,5_2024-03-23 04:00:00
137,5,2024-03-23 03:15:00,0.0,0.0,5.8,68.0,73.6,73.6,2024-03-23,5_2024-03-23 03:15:00
138,5,2024-03-23 03:30:00,0.0,0.0,3.6,68.0,73.6,73.6,2024-03-23,5_2024-03-23 03:30:00
139,5,2024-03-23 03:00:00,0.0,0.0,7.4,68.0,73.6,73.6,2024-03-23,5_2024-03-23 03:00:00
140,5,2024-03-23 02:45:00,0.0,0.0,7.6,68.0,73.6,73.6,2024-03-23,5_2024-03-23 02:45:00
141,5,2024-03-23 02:30:00,0.0,0.0,7.6,68.0,73.6,73.6,2024-03-23,5_2024-03-23 02:30:00
142,5,2024-03-23 01:45:00,0.0,0.2,9.2,68.0,73.6,73.6,2024-03-23,5_2024-03-23 01:45:00
143,5,2024-03-23 02:00:00,0.0,0.2,8.2,68.0,73.6,73.6,2024-03-23,5_2024-03-23 02:00:00
144,5,2024-03-23 01:15:00,0.0,1.6,12.0,67.8,73.4,73.4,2024-03-23,5_2024-03-23 01:15:00
145,5,2024-03-23 01:30:00,0.2,0.6,12.2,68.0,73.6,73.6,2024-03-23,5_2024-03-23 01:30:00
146,5,2024-03-23 00:45:00,0.4,2.0,16.0,67.8,73.4,73.4,2024-03-23,5_2024-03-23 00:45:00
147,5,2024-03-23 01:00:00,0.0,2.0,13.8,67.8,73.4,73.4,2024-03-23,5_2024-03-23 01:00:00
