id,geometry
88a8a06711fffff,"POLYGON((-43.430901517092 -22.8790008763374, -43.4267314901762 -22.8760041487383, -43.4276425518775 -22.8713252154959, -43.4327235671412 -22.8696430458339, -43.4368935597807 -22.872639841421, -43.4359825714444 -22.8773187386704, -43.430901517092 -22.8790008763374))"
88a8a07501fffff,"POLYGON((-43.3905266898863 -22.9885866067614, -43.3863559950367 -22.9855927736453, -43.3872675422428 -22.9809199023401, -43.3923497111238 -22.9792408997527, -43.396520372302 -22.9822348009746, -43.3956088982823 -22.9869076366666, -43.3905266898863 -22.9885866067614))"
88a8a06addfffff,"POLYGON((-43.2311458992688 -22.87934213246, -43.2269761731741 -22.8763399791656, -43.2278888489992 -22.8716618430445, -43.2329711785764 -22.8699858942361, -43.2371408734466 -22.8729881150855, -43.2362282699758 -22.8776662171768, -43.2311458992688 -22.87934213246))"
88a8a02825fffff,"POLYGON((-43.5729247548753 -22.9063256622355, -43.5687543934785 -22.9033338216351, -43.5696643340253 -22.8986558389008, -43.5747445618939 -22.8969697341481, -43.5789148868436 -22.8999616431019, -43.5780050203834 -22.9046395884436, -43.5729247548753 -22.9063256622355))"
88a8a0672dfffff,"POLYGON((-43.3819112486036 -22.8864563225384, -43.3777412377517 -22.8834585292106, -43.3786527079098 -22.8787801827351, -43.3837341158122 -22.8770996650884, -43.3879040931352 -22.8800975263112, -43.3869926960965 -22.8847758372742, -43.3819112486036 -22.8864563225384))"
88a8a0719dfffff,"POLYGON((-43.299038845339 -23.0187758813006, -43.2948680873376 -23.0157806491642, -43.2957804178893 -23.0111097688519, -43.3008634337236 -23.0094341553876, -43.3050341594488 -23.0124294554875, -43.3041219016276 -23.0171003010767, -43.299038845339 -23.0187758813006))"
88a8a07455fffff,"POLYGON((-43.4678091553755 -23.0067504433081, -43.4636382425616 -23.0037593940353, -43.4645491874082 -22.99908721244, -43.4696309714996 -22.9974061164783, -43.4738018494597 -23.0003972340595, -43.4728909781939 -23.0050693792826, -43.4678091553755 -23.0067504433081))"
88a8a029edfffff,"POLYGON((-43.5538932896801 -22.882006830935, -43.5497231060522 -22.8790135789166, -43.55063316782 -22.8743343561825, -43.555713339242 -22.8726484226584, -43.559883486716 -22.875641742942, -43.5589734989335 -22.880320928473, -43.5538932896801 -22.882006830935))"
88a8a0635dfffff,"POLYGON((-43.2767520831958 -22.9867855459395, -43.2725815721402 -22.9837885382075, -43.2734940361406 -22.9791160154395, -43.2785769385981 -22.9774405348912, -43.2827474177213 -22.9804376104795, -43.2818350263311 -22.9851100987482, -43.2767520831958 -22.9867855459395))"
88a8a02a39fffff,"POLYGON((-43.6294932348086 -22.9575386972698, -43.6253224887606 -22.954550290154, -43.62623203759 -22.94987486692, -43.6313122580961 -22.9481878887425, -43.635482966828 -22.9511763644335, -43.6345734923814 -22.9558517497153, -43.6294932348086 -22.9575386972698))"
