primary_key,id_estacao,data_medicao,altura_agua,data_particao
2_2024-03-21 17:30:00,2,2024-03-21 17:30:00,0.33,2024-03-21
2_2024-03-21 17:15:00,2,2024-03-21 17:15:00,0.33,2024-03-21
2_2024-03-21 18:00:00,2,2024-03-21 18:00:00,0.33,2024-03-21
2_2024-03-21 16:45:00,2,2024-03-21 16:45:00,0.33,2024-03-21
2_2024-03-21 16:15:00,2,2024-03-21 16:15:00,0.33,2024-03-21
2_2024-03-21 16:30:00,2,2024-03-21 16:30:00,0.33,2024-03-21
2_2024-03-21 17:00:00,2,2024-03-21 17:00:00,0.33,2024-03-21
2_2024-03-21 15:30:00,2,2024-03-21 15:30:00,0.33,2024-03-21
2_2024-03-21 14:15:00,2,2024-03-21 14:15:00,0.33,2024-03-21
2_2024-03-21 14:45:00,2,2024-03-21 14:45:00,0.33,2024-03-21
2_2024-03-21 15:00:00,2,2024-03-21 15:00:00,0.33,2024-03-21
2_2024-03-21 14:30:00,2,2024-03-21 14:30:00,0.33,2024-03-21
2_2024-03-21 13:30:00,2,2024-03-21 13:30:00,0.33,2024-03-21
2_2024-03-21 13:15:00,2,2024-03-21 13:15:00,0.33,2024-03-21
2_2024-03-21 13:45:00,2,2024-03-21 13:45:00,0.33,2024-03-21
2_2024-03-21 14:00:00,2,2024-03-21 14:00:00,0.33,2024-03-21
2_2024-03-21 12:30:00,2,2024-03-21 12:30:00,0.33,2024-03-21
2_2024-03-21 12:15:00,2,2024-03-21 12:15:00,0.33,2024-03-21
2_2024-03-21 12:45:00,2,2024-03-21 12:45:00,0.33,2024-03-21
2_2024-03-21 13:00:00,2,2024-03-21 13:00:00,0.33,2024-03-21
2_2024-03-21 11:15:00,2,2024-03-21 11:15:00,0.33,2024-03-21
2_2024-03-21 12:00:00,2,2024-03-21 12:00:00,0.33,2024-03-21
2_2024-03-21 11:45:00,2,2024-03-21 11:45:00,0.33,2024-03-21
2_2024-03-21 11:30:00,2,2024-03-21 11:30:00,0.33,2024-03-21
2_2024-03-21 10:45:00,2,2024-03-21 10:45:00,0.33,2024-03-21
2_2024-03-21 11:00:00,2,2024-03-21 11:00:00,0.33,2024-03-21
2_2024-03-21 10:30:00,2,2024-03-21 10:30:00,0.33,2024-03-21
2_2024-03-21 10:15:00,2,2024-03-21 10:15:00,0.33,2024-03-21
2_2024-03-21 09:15:00,2,2024-03-21 09:15:00,0.33,2024-03-21
2_2024-03-21 09:45:00,2,2024-03-21 09:45:00,0.33,2024-03-21
2_2024-03-21 09:30:00,2,2024-03-21 09:30:00,0.33,2024-03-21
2_2024-03-21 10:00:00,2,2024-03-21 10:00:00,0.33,2024-03-21
2_2024-03-21 08:45:00,2,2024-03-21 08:45:00,0.33,2024-03-21
2_2024-03-21 09:00:00,2,2024-03-21 09:00:00,0.33,2024-03-21
2_2024-03-21 08:30:00,2,2024-03-21 08:30:00,0.33,2024-03-21
2_2024-03-21 00:15:00,2,2024-03-21 00:15:00,0.33,2024-03-21
2_2024-03-21 08:15:00,2,2024-03-21 08:15:00,0.34,2024-03-21
2_2024-03-21 08:00:00,2,2024-03-21 08:00:00,0.34,2024-03-21
2_2024-03-21 07:30:00,2,2024-03-21 07:30:00,0.34,2024-03-21
2_2024-03-21 06:15:00,2,2024-03-21 06:15:00,0.34,2024-03-21
2_2024-03-21 06:45:00,2,2024-03-21 06:45:00,0.34,2024-03-21
2_2024-03-21 06:30:00,2,2024-03-21 06:30:00,0.34,2024-03-21
2_2024-03-21 07:00:00,2,2024-03-21 07:00:00,0.34,2024-03-21
2_2024-03-21 05:15:00,2,2024-03-21 05:15:00,0.34,2024-03-21
2_2024-03-21 06:00:00,2,2024-03-21 06:00:00,0.34,2024-03-21
2_2024-03-21 05:30:00,2,2024-03-21 05:30:00,0.34,2024-03-21
2_2024-03-21 05:45:00,2,2024-03-21 05:45:00,0.34,2024-03-21
2_2024-03-21 04:00:00,2,2024-03-21 04:00:00,0.34,2024-03-21
2_2024-03-21 03:45:00,2,2024-03-21 03:45:00,0.34,2024-03-21
2_2024-03-21 03:15:00,2,2024-03-21 03:15:00,0.34,2024-03-21
2_2024-03-21 03:30:00,2,2024-03-21 03:30:00,0.34,2024-03-21
2_2024-03-21 01:15:00,2,2024-03-21 01:15:00,0.34,2024-03-21
2_2024-03-21 02:00:00,2,2024-03-21 02:00:00,0.34,2024-03-21
2_2024-03-21 01:30:00,2,2024-03-21 01:30:00,0.34,2024-03-21
2_2024-03-21 01:00:00,2,2024-03-21 01:00:00,0.34,2024-03-21
2_2024-03-21 00:45:00,2,2024-03-21 00:45:00,0.34,2024-03-21
2_2024-03-21 00:30:00,2,2024-03-21 00:30:00,0.34,2024-03-21
2_2024-03-21 00:00:00,2,2024-03-21 00:00:00,0.34,2024-03-21
2_2024-03-21 01:45:00,2,2024-03-21 01:45:00,0.34,2024-03-21
2_2024-03-21 03:00:00,2,2024-03-21 03:00:00,0.34,2024-03-21
2_2024-03-21 02:45:00,2,2024-03-21 02:45:00,0.34,2024-03-21
2_2024-03-21 02:15:00,2,2024-03-21 02:15:00,0.34,2024-03-21
